timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
133064.48521249995,-1711.3592187445427,-3516.110312251486,-2901.0351829533497,-2892.1212024907713,-3178.746702037359,-3502.6280193928505,-1793.814454794163,-1996.0168916640453
133064.48921249993,-1600.0105112803592,-3483.9908554692097,-3010.3105914963,-2925.599750109732,-3162.5193355628057,-3373.6472780135014,-1796.890962870832,-2097.9301943770283
133064.49321249992,-1609.6427161565682,-3371.1637896569123,-2978.5152350086255,-3029.4234284816303,-3193.851941091054,-3348.973047610885,-1664.1071070970127,-2082.686304658509
133064.4972124999,-1728.8843833815317,-3382.192280069564,-2871.693978157667,-2990.2767927902096,-3301.486766515585,-3385.4734463064015,-1635.7638727666586,-1985.3512678527854
133064.5012124999,-1727.4505538993246,-3503.3341948192356,-2883.3437772169746,-2887.2418865253794,-3270.56766825976,-3517.0022865536557,-1672.9540323262254,-1982.396472009596
133064.50521249988,-1614.6894955823716,-3500.5021589475464,-2998.3793001552585,-2907.277955330516,-3165.1568414085323,-3484.2814281471287,-1809.78477620748,-2013.2829157637557
133064.4736737,-1588.7054180300736,-3385.851330486099,-2994.2442274310265,-3019.24674908033,-3176.4266608120993,-3356.4720578756405,-1778.6765612388028,-2105.8528400484133
133064.4776737,-1627.6590953025634,-3359.8649828347548,-2885.489544684684,-3006.6270938592666,-3289.7856282932316,-3364.925557477839,-1646.3095305744746,-2066.988045884734
133064.48167369998,-1741.617368931904,-3400.6771727341024,-2861.206644433039,-2899.7029840592127,-3286.023899550605,-3502.2410548169682,-1652.2404262672874,-1974.310204583878
133064.48567369996,-1711.3592187445427,-3516.110312251486,-2901.0351829533497,-2878.401771593305,-3178.746702037359,-3502.6280193928505,-1793.814454794163,-1996.0168916640453
133064.48967369995,-1600.0105112803592,-3483.9908554692097,-3010.3105914963,-2925.599750109732,-3154.781091783177,-3373.6472780135014,-1796.890962870832,-2097.9301943770283
133064.49367369994,-1609.6427161565682,-3371.1637896569123,-2978.5152350086255,-3029.4234284816303,-3193.851941091054,-3343.396287369286,-1664.1071070970127,-2082.686304658509
133064.49767369992,-1728.8843833815317,-3382.192280069564,-2871.693978157667,-2990.2767927902096,-3301.486766515585,-3385.4734463064015,-1631.7969619948522,-1985.3512678527854
133064.5016736999,-1727.4505538993246,-3503.3341948192356,-2883.3437772169746,-2887.2418865253794,-3270.56766825976,-3517.0022865536557,-1672.9540323262254,-1967.2568322242003
133064.5056736999,-1692.0088944743748,-3500.5021589475464,-2998.3793001552585,-2907.277955330516,-3165.1568414085323,-3484.2814281471287,-1809.78477620748,-2013.2829157637557
133064.4898506,-1588.7054180300736,-3464.2409937669036,-2994.2442274310265,-3019.24674908033,-3176.4266608120993,-3356.4720578756405,-1778.6765612388028,-2105.8528400484133
133064.49385059997,-1627.6590953025634,-3359.8649828347548,-2959.659443084531,-3006.6270938592666,-3289.7856282932316,-3364.925557477839,-1646.3095305744746,-2066.988045884734
133064.49785059996,-1741.617368931904,-3400.6771727341024,-2861.206644433039,-2971.340325038472,-3286.023899550605,-3502.2410548169682,-1652.2404262672874,-1974.310204583878
133064.50185059995,-1711.3592187445427,-3516.110312251486,-2901.0351829533497,-2878.401771593305,-3251.968572150895,-3502.6280193928505,-1793.814454794163,-1996.0168916640453
133064.50585059993,-1600.0105112803592,-3483.9908554692097,-3010.3105914963,-2925.599750109732,-3154.781091783177,-3462.425962267931,-1796.890962870832,-2097.9301943770283
133064.50985059992,-1609.6427161565682,-3371.1637896569123,-2978.5152350086255,-3029.4234284816303,-3193.851941091054,-3343.396287369286,-1756.0576435880535,-2082.686304658509
133064.5138505999,-1728.8843833815317,-3382.192280069564,-2871.693978157667,-2990.2767927902096,-3301.486766515585,-3385.4734463064015,-1631.7969619948522,-2049.5467002894525
133064.5178505999,-1749.230058771975,-3503.3341948192356,-2883.3437772169746,-2887.2418865253794,-3270.56766825976,-3517.0022865536557,-1672.9540323262254,-1967.2568322242003
133064.52185059988,-1692.0088944743748,-3523.52236026047,-2998.3793001552585,-2907.277955330516,-3165.1568414085323,-3484.2814281471287,-1809.78477620748,-2013.2829157637557
133064.4901317,-1588.7054180300736,-3464.2409937669036,-3017.143589625489,-3019.24674908033,-3176.4266608120993,-3356.4720578756405,-1778.6765612388028,-2105.8528400484133
133064.4941317,-1627.6590953025634,-3359.8649828347548,-2959.659443084531,-3034.606937719219,-3289.7856282932316,-3364.925557477839,-1646.3095305744746,-2066.988045884734
133064.49813169998,-1741.617368931904,-3400.6771727341024,-2861.206644433039,-2971.340325038472,-3308.261440561586,-3502.2410548169682,-1652.2404262672874,-1974.310204583878
133064.50213169996,-1711.3592187445427,-3516.110312251486,-2901.0351829533497,-2878.401771593305,-3251.968572150895,-3526.296072048971,-1793.814454794163,-1996.0168916640453
