subject,phase,t_start,log_theta_region,log_alpha_region,log_ratio
1,baseline_eyes_open,27.98324887555702,3.7923444755963263,1.4660565866514428,2.3262878889448837
1,baseline_eyes_open,28.98265062111263,2.5403994031288324,1.3249403674125722,1.2154590357162602
1,baseline_eyes_open,29.98205236666824,4.606120524491101,1.0725330889035307,3.5335874355875703
1,baseline_eyes_open,30.981454112223844,3.541289356569275,2.0326873616698777,1.5086019948993972
1,baseline_eyes_open,31.980855857779453,2.976584953959986,1.984319083076049,0.9922658708839369
1,baseline_eyes_open,32.98025760333506,1.985283497825584,1.018932981350141,0.9663505164754429
1,baseline_eyes_open,33.97965934889067,3.1652748370477695,2.1270250376585556,1.038249799389214
1,baseline_eyes_open,34.97906109444628,0.789221768594448,0.9806162981671419,-0.19139452957269387
1,baseline_eyes_open,35.97846284000188,1.857206100572208,2.2442995828765198,-0.38709348230431173
1,baseline_eyes_open,36.97786458555749,2.3739455552348083,2.187568827336595,0.18637672789821336
1,baseline_eyes_open,37.9772663311131,4.358663393366473,2.616594187406838,1.7420692059596345
1,baseline_eyes_open,38.97666807666871,3.425217399416647,2.2770186706670104,1.1481987287496365
1,baseline_eyes_open,39.97606982222432,2.6020239761771777,1.3248883969844103,1.2771355791927674
1,baseline_eyes_open,40.97547156777993,2.105975868604092,1.019838497295882,1.08613737130821
1,baseline_eyes_open,41.97487331333553,2.2674422901150977,1.0105473935160385,1.2568948965990592
1,baseline_eyes_open,42.97427505889114,3.2051337344742232,1.6748317181805905,1.5303020162936327
1,baseline_eyes_open,43.97367680444675,4.1452014325050754,2.573045313379861,1.5721561191252142
1,baseline_eyes_open,44.973078550002356,3.5153731125233363,1.4205260128537336,2.094847099669603
1,baseline_eyes_open,45.972480295557965,2.725783105783606,1.1887554630401869,1.5370276427434193
1,baseline_eyes_open,46.971882041113574,2.03039345429439,1.707757068872646,0.3226363854217442
1,baseline_eyes_open,47.97128378666918,1.3062730048203355,1.240069130707835,0.0662038741125004
1,baseline_eyes_open,48.970685532224785,1.8280951003504595,1.2830054235214863,0.5450896768289732
1,baseline_eyes_open,49.970087277780394,2.8967911813557343,2.3634382826905806,0.5333528986651537
1,baseline_eyes_open,50.969489023336,0.9557037428205454,1.4195797145985931,-0.46387597177804774
1,baseline_eyes_open,51.96889076889161,2.7226032743521245,1.453398821743192,1.2692044526089326
1,baseline_eyes_open,52.96829251444722,1.3325823634814746,0.9461187779030401,0.3864635855784345
1,baseline_eyes_open,53.96769426000283,1.9348722209271008,1.4798083960706558,0.4550638248564449
1,baseline_eyes_open,54.96709600555843,1.7411724066796843,1.232841779716753,0.5083306269629313
1,baseline_eyes_open,55.96649775111404,2.490539317701414,0.9925113481426814,1.4980279695587329
1,baseline_eyes_open,56.96589949666965,1.2227246988655585,1.8125327261176152,-0.5898080272520567
1,baseline_eyes_open,57.96530124222526,2.0932171203898613,1.8805216670814513,0.21269545330841
1,baseline_eyes_open,58.96470298778087,2.12674710028991,2.1028396122731503,0.023907488016759793
1,baseline_eyes_open,59.96410473333648,2.6359420270587157,0.8636797018819067,1.772262325176809
1,baseline_eyes_open,60.963506478892086,2.5579236740330593,1.593404341990177,0.9645193320428822
1,baseline_eyes_open,61.96290822444769,2.230876638139469,1.245765484304698,0.9851111538347712
1,baseline_eyes_open,62.9623099700033,2.5880997943104878,0.9666019129625988,1.621497881347889
1,baseline_eyes_open,63.961711715558906,1.2226237602794314,0.7382809273124894,0.484342832966942
1,baseline_eyes_open,64.96111346111451,1.5061676660647325,2.266032964489004,-0.7598652984242713
1,baseline_eyes_open,65.96051520667012,2.0253729123081983,1.7153236479053249,0.3100492644028734
1,baseline_eyes_open,66.95991695222573,2.498130367828139,1.879233431513873,0.6188969363142658
