subject,phase,n_samples,duration_s,sr_hz,fz_artifact_pct,pz_artifact_pct,n_windows,mean_ratio,median_ratio,std_ratio,mean_theta_fz,mean_alpha_pz
4,high_cognitive_load,9000,179.96881230000326,50.008664751297225,6.777777777777778,5.6,357,9.358201607640583,4.061762657474366,12.696377874032157,391.6429293264964,62.08654203404874
Daniel,baseline_eyes_open,234,89.53724499999771,2.6134375700302814,5.982905982905983,4.273504273504273,0,,,,,
Daniel,baseline_eyes_closed,233,89.75553870000113,2.59594007650914,5.150214592274678,8.15450643776824,0,,,,,
Daniel,low_cognitive_load,467,179.46067120000225,2.602241465371239,1.7130620985010707,4.496788008565311,0,,,,,
Daniel,high_cognitive_load,468,179.74665120000282,2.6036646406238733,1.7094017094017093,0.8547008547008547,0,,,,,
Edgar,baseline_eyes_open,235,89.74228850000327,2.618609397285333,1.2765957446808511,0.851063829787234,0,,,,,
Edgar,baseline_eyes_closed,235,89.42496529999335,2.6279014949756707,0.851063829787234,0.851063829787234,0,,,,,
Edgar,low_cognitive_load,467,179.8169858999936,2.5970850176508082,0.4282655246252677,0.21413276231263384,0,,,,,
Edgar,high_cognitive_load,473,179.63398239999879,2.633132070449512,1.2684989429175475,0.8456659619450317,0,,,,,
Edwin,baseline_eyes_open,233,89.77982119999797,2.5952379597744764,2.1459227467811157,1.7167381974248928,0,,,,,
Edwin,baseline_eyes_closed,234,89.58193559999563,2.6121337793465966,1.2820512820512822,1.2820512820512822,0,,,,,
Edwin,low_cognitive_load,466,179.5341079000009,2.595607071273378,1.9313304721030042,2.1459227467811157,0,,,,,
Edwin,high_cognitive_load,473,179.6400406000048,2.633043270421012,0.42283298097251587,1.2684989429175475,0,,,,,
Jeronimo,baseline_eyes_open,214,81.70593720000397,2.619148709795224,2.803738317757009,3.2710280373831777,0,,,,,
Jeronimo,baseline_eyes_closed,232,89.51789970000391,2.5916604475472282,2.1551724137931036,1.293103448275862,0,,,,,
Jeronimo,low_cognitive_load,468,180.17489089999071,2.5974762502271846,3.4188034188034186,2.3504273504273505,0,,,,,
Jeronimo,high_cognitive_load,470,181.91135669999858,2.5836759646353826,5.531914893617022,4.8936170212765955,0,,,,,
Joss,baseline_eyes_open,235,89.76182329999938,2.6180395112361943,8.085106382978724,9.787234042553191,0,,,,,
Joss,baseline_eyes_closed,232,89.67923079999946,2.586998103467246,0.8620689655172413,0.8620689655172413,0,,,,,
Joss,low_cognitive_load,469,179.34561099999337,2.615062601113876,5.11727078891258,3.624733475479744,0,,,,,
Joss,high_cognitive_load,471,179.79551210000136,2.6196426957422174,3.6093418259023355,2.335456475583864,0,,,,,
