subject,phase,t_start,theta_fz,alpha_pz,log_theta,log_alpha,log_ratio
heberto,high_cognitive_load,80.99359132499958,2.5708742285649437,23.496362012683086,0.944246007820322,3.15684560119519,-2.2125995933748683
heberto,high_cognitive_load,81.99351220555513,1.058072089912598,148.69569438462784,0.05644846902843408,5.001901898000689,-4.945453428972255
heberto,high_cognitive_load,82.99343308611068,4.1895695670918895,33.99073433036385,1.432598000039413,3.5260879677807404,-2.0934899677413275
heberto,high_cognitive_load,83.99335396666623,13.180964948501524,169.72807298861605,2.5787737394825414,5.1341975857160485,-2.555423846233507
heberto,high_cognitive_load,84.99327484722178,1.0156367153305603,31.28209359163557,0.015515721564142111,3.443045844116239,-3.427530122552097
heberto,high_cognitive_load,85.99319572777733,4.913719961406022,7.023187507629477,1.5920312845642521,1.9492171758991361,-0.357185891334884
heberto,high_cognitive_load,86.99311660833288,3.8922770419120263,43.08997363524495,1.3589943441932961,3.7632903397743442,-2.404295995581048
heberto,high_cognitive_load,87.99303748888843,1.8378446335905347,52.27008973238743,0.6085934902140132,3.95642430943251,-3.3478308192184967
heberto,high_cognitive_load,88.99295836944398,2.892329474538598,103.7212868393798,1.0620622239964264,4.641707367452155,-3.579645143455729
heberto,high_cognitive_load,89.99287924999953,4.418145599806763,88.61554238524518,1.4857200604998764,4.4843072641817665,-2.99858720368189
heberto,high_cognitive_load,90.99280013055508,2.3703090961289535,36.773957245205224,0.8630203669506262,3.6047899110944703,-2.7417695441438443
heberto,high_cognitive_load,91.99272101111063,14.070209764393875,86.73020278776666,2.644059779643017,4.462802182843829,-1.8187424032008117
heberto,high_cognitive_load,92.99264189166618,2.7308399971993604,42.716454340987546,1.0046092531514308,3.7545841935713855,-2.7499749404199547
heberto,high_cognitive_load,93.99256277222173,6.552144701630356,57.30812834033066,1.879792431415314,4.048442469512297,-2.168650038096983
heberto,high_cognitive_load,94.99248365277728,1.39722991964253,17.283219536127866,0.33449164772250156,2.8497360617694265,-2.515244414046925
heberto,high_cognitive_load,95.99240453333283,11.32841917795674,72.25680679730307,2.427314539970552,4.280226534282273,-1.8529119943117216
heberto,high_cognitive_load,96.99232541388838,5.750901640911782,73.94731425887262,1.749356649631401,4.303352870158846,-2.553996220527445
heberto,high_cognitive_load,97.99224629444393,12.605595448463873,11.70438821054053,2.5341407985930844,2.4599638322159763,0.07417696637710813
heberto,high_cognitive_load,98.9921671749995,2.0074839382651692,17.96427247191035,0.6968821659425979,2.8883849227741436,-2.1915027568315457
heberto,high_cognitive_load,99.99208805555504,1.17121711862359,38.18885944563337,0.15804348042921817,3.642543835529165,-3.4845003550999465
heberto,high_cognitive_load,100.9920089361106,2.589633205952913,54.02429455611098,0.9515162463592836,3.9894338445772197,-3.0379175982179363
heberto,high_cognitive_load,101.99192981666614,2.3889006860847086,15.946764676051465,0.8708332961462449,2.7692559670288412,-1.8984226708825962
heberto,high_cognitive_load,102.9918506972217,6.1980191681439845,38.87962896926916,1.8242297519945245,3.6604704365752316,-1.836240684580707
heberto,high_cognitive_load,103.99177157777724,5.097930476675996,137.5382780351933,1.6288346684886303,4.923902264075011,-3.2950675955863806
heberto,high_cognitive_load,104.99169245833279,6.902858800909627,22.577586882978334,1.931935644769218,3.116957683346168,-1.1850220385769499
heberto,high_cognitive_load,105.99161333888834,9.461956393597536,98.63881062480394,2.247279168616381,4.591464801046207,-2.3441856324298262
heberto,high_cognitive_load,106.99153421944389,7.512617044687824,102.29241068645916,2.016583879731683,4.62783548336747,-2.611251603635787
heberto,high_cognitive_load,107.99145509999944,3.22978931789406,36.629975087067166,1.1724169084490286,3.600866896666745,-2.4284499882177166
heberto,high_cognitive_load,108.99137598055499,9.553015287601596,39.00280039894614,2.2568568415798596,3.6636334486529667,-1.4067766070731071
heberto,high_cognitive_load,109.99129686111054,2.174544488965437,40.723144455810214,0.7768192122463284,3.7067965906707254,-2.9299773784243968
heberto,high_cognitive_load,110.99121774166609,4.8286764859955955,41.05341178899188,1.574572410651679,3.714873945453071,-2.1403015348013916
heberto,high_cognitive_load,111.99113862222164,3.8311623705686255,41.7994611863194,1.3431682481585587,3.73288344916819,-2.389715201009631
heberto,high_cognitive_load,112.99105950277719,3.5535037571330075,40.700085089989365,1.2679340905891665,3.706230183109493,-2.4382960925203268
heberto,high_cognitive_load,113.99098038333274,8.03599425521488,132.1329546668567,2.083930732071258,4.883808647992926,-2.7998779159216682
heberto,high_cognitive_load,114.99090126388829,2.7776330949821686,16.621499030334107,1.0215991603690493,2.8106969797243013,-1.789097819355252
heberto,high_cognitive_load,115.99082214444384,1.8666501267588635,121.94101041867549,0.6241454483688434,4.8035374066408085,-4.179391958271965
heberto,high_cognitive_load,116.99074302499939,12.156379686674288,45.31609896399856,2.4978541090743516,3.8136623548732445,-1.3158082457988929
heberto,high_cognitive_load,117.99066390555494,1.2652672086646275,18.63745347621458,0.23528333201906557,2.9251731838417094,-2.689889851822644
heberto,high_cognitive_load,118.99058478611049,10.926370828452946,40.754901725151825,2.391179209398762,3.7075761201866695,-1.3163969107879074
heberto,high_cognitive_load,119.99050566666605,14.889098034305029,62.68695921697291,2.700629269596221,4.138153439036457,-1.4375241694402359
heberto,high_cognitive_load,120.9904265472216,6.164563117900057,127.98057914285624,1.81881726920666,4.851878526961712,-3.033061257755052
heberto,high_cognitive_load,121.99034742777715,5.521037369630346,35.92391394913993,1.7085657719133684,3.5814032004472978,-1.8728374285339293
heberto,high_cognitive_load,122.9902683083327,6.674746143199672,80.9631395661123,1.8983311725817946,4.3939939840129565,-2.4956628114311616
heberto,high_cognitive_load,123.99018918888825,3.4017754005802088,18.609805970802835,1.2242974719765731,2.9236886445279557,-1.6993911725513826
heberto,high_cognitive_load,124.9901100694438,2.0832999620980113,110.98300599285886,0.7339531567589532,4.709377090428028,-3.9754239336690746
heberto,high_cognitive_load,125.99003094999935,6.706889952493778,93.60968122104819,1.9031353491246,4.539133809983647,-2.6359984608590468
heberto,high_cognitive_load,126.9899518305549,3.2855109659953197,292.68993407003114,1.1895221850447275,5.679113803185178,-4.489591618140451
heberto,high_cognitive_load,127.98987271111045,0.9118137291462663,20.683729296904712,-0.09231955412568897,3.029347366888127,-3.121666921013816
heberto,high_cognitive_load,128.989793591666,3.0439088025923726,170.06116759431183,1.1131424798240848,5.136158181712696,-4.02301570188861
heberto,high_cognitive_load,129.98971447222155,2.5608431959766675,28.805972996184906,0.9403365776883371,3.36058276133925,-2.420246183650913
heberto,high_cognitive_load,130.9896353527771,8.441163583245388,128.1718189701904,2.1331201644187514,4.853371699497083,-2.720251535078331
heberto,high_cognitive_load,131.98955623333265,7.302774859644823,63.494456216874035,1.9882543936874573,4.1509525984161835,-2.162698204728726
heberto,high_cognitive_load,132.9894771138882,22.86825321589452,112.08043003483483,3.129749626276161,4.719216738877519,-1.5894671126013575
heberto,high_cognitive_load,133.98939799444375,3.4029553810354294,48.39023762392466,1.2246442837770444,3.879298091392977,-2.654653807615933
heberto,high_cognitive_load,134.9893188749993,3.945338835495888,301.065242293355,1.3725348404690554,5.707326993066763,-4.334792152597708
heberto,high_cognitive_load,135.98923975555485,3.578424701850655,35.215659040546335,1.274922676156118,3.561490842790005,-2.286568166633887
heberto,high_cognitive_load,136.9891606361104,11.034024630687616,284.40238217521454,2.400983647101474,5.650390074037517,-3.2494064269360434
heberto,high_cognitive_load,137.98908151666595,6.665961396130578,19.412529390674347,1.89701418870925,2.965918702481353,-1.068904513772103
heberto,high_cognitive_load,138.9890023972215,41.18970405458386,172.63680764308452,3.7181883235371056,5.151190009929476,-1.43300168639237
heberto,high_cognitive_load,139.98892327777705,5.828988240972161,139.4214488197073,1.7628434417294447,4.937501351768047,-3.174657910038602
heberto,high_cognitive_load,140.9888441583326,5.704502964277102,48.779580152571505,1.7412558566925256,3.8873117857923805,-2.146055929099855
heberto,high_cognitive_load,141.98876503888815,9.080109212739012,171.6708204061129,2.206086220375561,5.145578808243358,-2.939492587867797
heberto,high_cognitive_load,142.9886859194437,1.0873322900256506,26.92257106537591,0.08372725601981425,3.292965007845084,-3.2092377518252695
heberto,high_cognitive_load,143.98860679999925,11.518618203310655,72.81771803331195,2.4439647004441696,4.287959305169096,-1.8439946047249265
