timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,label
297861.2435765,-77235.9609375,-148419.78125,-72653.2734375,-118991.1640625,-106967.6640625,-149875.453125,-63764.02734375,-111181.5546875,rest
297861.2475765,-77143.0625,-148921.703125,-72397.03125,-118662.59375,-106664.3984375,-149288.90625,-63237.328125,-110568.890625,rest
297861.2515765,-77138.7265625,-149223.90625,-72270.7890625,-118583.328125,-106833.5546875,-149289.265625,-63325.3515625,-110586.4140625,rest
297861.2555765,-77235.9140625,-148821.0,-72448.796875,-118849.6328125,-107186.359375,-149834.6875,-63853.25390625,-111168.8125,rest
297861.25957650004,-77244.9921875,-148408.15625,-72651.3046875,-119023.390625,-107052.421875,-149961.421875,-63860.765625,-111273.1953125,rest
297861.26357650006,-77134.2578125,-148818.09375,-72435.25,-118693.4375,-106662.65625,-149345.953125,-63275.41796875,-110624.7734375,rest
297861.2675765001,-77110.34375,-149205.125,-72256.796875,-118559.3671875,-106773.4765625,-149242.234375,-63267.50390625,-110534.734375,rest
297861.2715765001,-77220.671875,-148914.78125,-72402.484375,-118779.3984375,-107125.828125,-149719.671875,-63750.390625,-111048.203125,rest
297861.2755765001,-77267.8359375,-148413.75,-72644.59375,-119032.0625,-107122.6953125,-150014.125,-63934.390625,-111337.4765625,rest
297861.2532745,-77158.7109375,-148710.4375,-72492.921875,-118744.3984375,-106687.1953125,-149421.046875,-63340.55078125,-110704.0703125,rest
297861.25727450004,-77111.859375,-149182.375,-72267.125,-118559.90625,-106741.421875,-149212.46875,-63236.2109375,-110505.7265625,rest
297861.26127450005,-77199.34375,-149017.15625,-72370.609375,-118722.71875,-107082.6875,-149613.40625,-63662.4140625,-110939.2109375,rest
297861.26527450007,-77265.59375,-148459.078125,-72618.1796875,-119028.265625,-107189.53125,-150047.171875,-63987.9453125,-111379.2265625,rest
297861.2692745001,-77173.375,-148619.921875,-72536.1953125,-118800.90625,-106727.875,-149518.5,-63418.19921875,-110802.8203125,rest
297861.2732745001,-77107.34375,-149132.265625,-72271.59375,-118559.015625,-106698.2421875,-149195.875,-63200.2265625,-110484.1328125,rest
297861.2772745001,-77177.578125,-149079.921875,-72332.2578125,-118666.5234375,-107005.9296875,-149505.71875,-63554.1875,-110823.609375,rest
297861.2812745001,-77259.5625,-148508.609375,-72584.2890625,-119009.1328125,-107222.296875,-150043.328125,-64005.515625,-111381.9609375,rest
297861.28527450014,-77194.0234375,-148531.859375,-72593.140625,-118874.21875,-106800.3828125,-149639.828125,-63526.65234375,-110928.0390625,rest
297861.313359,-77114.8125,-149082.203125,-72310.0390625,-118585.5703125,-106682.953125,-149209.25,-63196.515625,-110491.8671875,rest
297861.31735900004,-77155.71875,-149138.296875,-72304.2265625,-118618.3828125,-106943.9765625,-149417.78125,-63465.2734375,-110727.1875,rest
297861.32135900005,-77241.6328125,-148588.453125,-72528.234375,-118947.3046875,-107226.5,-149988.015625,-63971.2265625,-111325.9453125,rest
297861.32535900007,-77202.96875,-148466.453125,-72612.6328125,-118921.515625,-106869.8984375,-149741.53125,-63630.31640625,-111036.3984375,rest
297861.3293590001,-77100.8671875,-148999.984375,-72319.828125,-118594.1015625,-106642.71875,-149213.53125,-63185.20703125,-110492.890625,rest
297861.3333590001,-77120.265625,-149162.890625,-72257.6015625,-118574.078125,-106853.625,-149327.4375,-63368.3984375,-110629.1484375,rest
297861.3373590001,-77212.21875,-148670.828125,-72466.6328125,-118883.109375,-107190.9609375,-149906.03125,-63908.41796875,-111243.2421875,rest
297861.34135900013,-77193.4921875,-148396.890625,-72616.75,-118953.8359375,-106930.7890625,-149832.234375,-63722.18359375,-111132.1953125,rest
297861.34535900014,-77096.6171875,-148896.140625,-72359.390625,-118623.296875,-106624.2578125,-149249.4375,-63196.3828125,-110521.59375,rest
297861.34207899997,-77111.015625,-149197.984375,-72254.734375,-118561.9609375,-106811.25,-149270.703125,-63304.47265625,-110559.8125,rest
297861.346079,-77197.2890625,-148792.203125,-72421.9296875,-118823.1640625,-107160.3359375,-149809.703125,-63825.671875,-111137.921875,rest
297861.350079,-77211.234375,-148390.640625,-72627.03125,-118997.1484375,-107021.671875,-149934.46875,-63830.1875,-111241.765625,rest
297861.354079,-77120.3984375,-148817.5,-72419.46875,-118682.5703125,-106644.1484375,-149330.171875,-63253.87109375,-110603.8515625,rest
297861.358079,-77085.0859375,-149192.171875,-72232.1640625,-118542.3828125,-106751.65625,-149220.6875,-63241.0859375,-110508.09375,rest
297861.36207900004,-77180.390625,-148888.8125,-72374.9453125,-118759.1484375,-107105.578125,-149702.40625,-63730.36328125,-111027.4140625,rest
297861.36607900006,-77222.7265625,-148394.203125,-72614.2421875,-119010.1640625,-107094.4453125,-149993.921875,-63905.9609375,-111312.484375,rest
297861.3700790001,-77137.96875,-148711.015625,-72473.5625,-118729.421875,-106666.7265625,-149409.421875,-63318.01953125,-110687.21875,rest
297861.3740790001,-77088.75,-149168.25,-72242.7109375,-118540.1015625,-106715.671875,-149197.046875,-63209.92578125,-110486.1015625,rest
297861.3709636,-77162.5546875,-148977.328125,-72337.2578125,-118697.6796875,-107045.5390625,-149596.234375,-63634.1171875,-110919.0078125,rest
297861.3749636,-77228.2265625,-148423.671875,-72584.203125,-119004.171875,-107149.7421875,-150027.5,-63956.921875,-111355.8515625,rest
297861.37896360003,-77150.578125,-148615.265625,-72515.1796875,-118792.3671875,-106711.2890625,-149510.546875,-63402.734375,-110793.75,rest
297861.38296360004,-77082.5390625,-149137.71875,-72250.265625,-118551.0546875,-106685.5,-149185.953125,-63184.3125,-110473.8984375,rest
297861.38696360006,-77140.3828125,-149065.515625,-72297.34375,-118642.921875,-106980.3203125,-149488.46875,-63527.72265625,-110805.6875,rest
297861.3909636001,-77222.234375,-148484.328125,-72545.625,-118974.1328125,-107183.5859375,-150015.609375,-63965.1015625,-111351.46875,rest
297861.3949636001,-77164.2578125,-148519.609375,-72555.59375,-118840.5546875,-106764.3984375,-149605.5,-63486.640625,-110894.109375,rest
297861.3989636001,-77094.875,-149075.140625,-72279.59375,-118561.875,-106660.328125,-149186.75,-63171.390625,-110469.0234375,rest
297861.4029636001,-77135.46875,-149124.9375,-72276.5078125,-118599.5625,-106920.328125,-149399.546875,-63443.14453125,-110707.4296875,rest
297861.3994256,-77221.96875,-148577.5,-72506.4609375,-118929.9140625,-107206.296875,-149970.0,-63951.15625,-111303.6796875,rest
297861.40342560003,-77191.4765625,-148472.0,-72595.734375,-118905.2890625,-106853.8515625,-149727.265625,-63611.23046875,-111015.03125,rest
297861.40742560005,-77093.7578125,-149001.59375,-72303.9140625,-118585.4296875,-106632.1640625,-149210.359375,-63177.3828125,-110487.6640625,rest
297861.41142560006,-77103.59375,-149156.578125,-72241.59375,-118560.4453125,-106844.953125,-149317.96875,-63357.0,-110618.9609375,rest
297861.4154256001,-77196.53125,-148659.96875,-72446.515625,-118859.9140625,-107175.1796875,-149887.578125,-63889.5546875,-111224.46875,rest
297861.4194256001,-77179.9921875,-148395.109375,-72589.8359375,-118931.703125,-106911.921875,-149806.75,-63697.5078125,-111107.2109375,rest
297861.4234256001,-77080.4765625,-148903.921875,-72327.828125,-118606.7578125,-106614.2890625,-149224.75,-63178.9453125,-110500.5859375,rest
297861.4274256001,-77089.6875,-149176.03125,-72216.6484375,-118532.015625,-106783.265625,-149245.453125,-63280.73828125,-110538.8515625,rest
297861.43142560014,-77186.46875,-148761.671875,-72396.4453125,-118800.8125,-107137.765625,-149794.71875,-63812.796875,-111124.9140625,rest
297861.4573007,-77198.3203125,-148366.140625,-72600.3828125,-118970.28125,-106996.2734375,-149907.921875,-63808.7734375,-111216.5078125,rest
297861.46130070003,-77108.5546875,-148801.015625,-72389.7890625,-118654.2734375,-106625.953125,-149302.140625,-63236.03515625,-110577.6953125,rest
297861.46530070005,-77093.84375,-149184.875,-72221.34375,-118530.0,-106749.5546875,-149212.640625,-63242.91796875,-110504.3828125,rest
297861.46930070006,-77182.7578125,-148885.09375,-72366.8984375,-118753.5625,-107107.7265625,-149701.734375,-63736.7109375,-111032.015625,rest
297861.4733007001,-77212.1796875,-148388.046875,-72592.7421875,-118996.5234375,-107086.0390625,-149978.71875,-63897.19921875,-111302.4296875,rest
297861.4773007001,-77116.6875,-148708.828125,-72438.15625,-118705.5546875,-106649.8671875,-149378.09375,-63294.28125,-110657.8515625,rest
297861.4813007001,-77075.0234375,-149168.75,-72211.15625,-118520.4375,-106696.8984375,-149174.6875,-63190.61328125,-110461.2890625,rest
297861.4853007001,-77163.09375,-148971.953125,-72318.4375,-118689.3671875,-107033.3359375,-149590.921875,-63625.53515625,-110909.3515625,rest
297861.48930070014,-77225.5,-148413.203125,-72572.8046875,-118991.515625,-107137.765625,-150017.390625,-63947.625,-111340.7890625,rest
297861.4645907,-77146.640625,-148612.453125,-72503.5546875,-118775.78125,-106700.921875,-149492.4375,-63388.65234375,-110769.96875,rest
297861.4685907,-77074.578125,-149134.5,-72237.5703125,-118542.1171875,-106677.5390625,-149178.046875,-63176.35546875,-110458.6484375,rest
297861.4725907,-77138.0546875,-149060.15625,-72289.515625,-118645.2890625,-106976.515625,-149494.359375,-63531.8828125,-110804.2578125,rest
297861.47659070004,-77212.890625,-148479.09375,-72529.796875,-118970.4609375,-107174.328125,-150007.828125,-63957.234375,-111332.828125,rest
297861.48059070006,-77150.6640625,-148529.34375,-72533.8203125,-118830.1875,-106752.109375,-149589.0,-63472.42578125,-110865.3671875,rest
297861.48459070007,-77071.8046875,-149076.25,-72249.2421875,-118549.8046875,-106639.3203125,-149171.015625,-63152.97265625,-110446.4921875,rest
297861.4885907001,-77106.8515625,-149113.125,-72242.265625,-118589.5,-106892.609375,-149388.59375,-63422.35546875,-110690.390625,rest
297861.4925907001,-77184.640625,-148548.609375,-72463.7734375,-118913.46875,-107167.5390625,-149954.3125,-63922.27734375,-111284.3671875,rest
297861.4965907001,-77154.9140625,-148445.578125,-72554.203125,-118885.5234375,-106814.0625,-149702.09375,-63576.2265625,-110988.078125,rest
297861.4987964,-77063.40625,-148985.765625,-72272.7109375,-118571.3984375,-106610.6171875,-149190.46875,-63150.6484375,-110463.296875,rest
297861.5027964,-77081.328125,-149144.921875,-72219.9140625,-118558.2109375,-106834.453125,-149312.734375,-63342.78515625,-110607.78125,rest
297861.5067964,-77193.9375,-148658.859375,-72439.71875,-118878.8203125,-107178.9375,-149899.0625,-63889.73046875,-111227.4609375,rest
297861.5107964,-77177.0859375,-148391.34375,-72578.2109375,-118933.4453125,-106903.5625,-149804.46875,-63684.765625,-111094.3828125,rest
297861.51479640004,-77070.6484375,-148893.859375,-72310.3515625,-118597.5,-106603.734375,-149219.171875,-63165.26953125,-110487.3046875,rest
297861.51879640005,-77084.5,-149181.4375,-72204.984375,-118533.3515625,-106788.5390625,-149247.78125,-63278.32421875,-110536.03125,rest
297861.52279640007,-77182.40625,-148770.078125,-72383.171875,-118810.734375,-107143.0390625,-149800.984375,-63810.96484375,-111126.65625,rest
297861.5267964001,-77193.7109375,-148380.796875,-72587.15625,-118976.6796875,-106994.3984375,-149905.546875,-63794.828125,-111207.96875,rest
297861.5307964001,-77090.09375,-148803.25,-72364.125,-118648.2890625,-106608.25,-149289.078125,-63209.34375,-110558.96875,rest
297861.53128369997,-77066.265625,-149180.1875,-72192.2890625,-118521.59375,-106731.859375,-149195.828125,-63215.06640625,-110481.0,rest
297861.5352837,-77160.546875,-148874.1875,-72338.46875,-118741.4921875,-107083.40625,-149686.765625,-63708.28125,-111006.9375,rest
297861.5392837,-77204.7109375,-148385.265625,-72578.75,-118989.2421875,-107062.6171875,-149968.21875,-63873.1484375,-111279.8984375,rest
