timestamp,phase,label,ecological_modality,channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7
46872.2743798,idle,idle,,260.2911145653165,222.23779108458973,578.44628050458,536.5209998159864,416.2476749072186,642.7338731423272,431.08692056045527,711.9921824369085
46872.2719825,idle,idle,,-389.58036985617167,-332.5490780313005,-855.3558535940516,-799.2650089990026,-612.2692164456622,-953.7469859438505,-639.6490983055223,-1064.9976541061687
46872.291982500006,idle,idle,,-983.5516378796983,-831.3921060522715,-2147.925454777896,-2016.6201786334393,-1570.011200050977,-2409.251758058208,-1618.0652292464927,-2703.92565937132
46872.3600201,idle,idle,,-1479.311144450743,-1262.28022360163,-3302.033777625796,-3083.929641913618,-2419.1281467070626,-3708.1497717039506,-2478.61539407967,-4180.568862384122
46872.380020100005,idle,idle,,-1930.7935090537212,-1669.8865541288517,-4335.514086538904,-4044.584565753005,-3192.3949039630093,-4861.355379352952,-3252.898867486442,-5495.810253974826
46872.3737972,idle,idle,,-2336.061573588784,-2021.7009609720862,-5254.269320549877,-4873.159932607879,-3837.7195666322814,-5852.347302666892,-3924.0681756977174,-6596.572749714826
46872.393797200006,idle,idle,,-2650.2077860127565,-2299.5939836172142,-5983.368754339468,-5544.972379938428,-4360.933459263296,-6659.660253464939,-4469.359339101584,-7498.915906004058
46872.390568200004,idle,idle,,-2884.4744109750854,-2504.1270394328803,-6554.95975265728,-6066.508717134283,-4775.344664313385,-7301.40575371731,-4884.621270218881,-8219.373561209184
46872.41056820001,idle,idle,,-2994.891957983548,-2587.3797466161236,-6914.133796138079,-6388.6789047024295,-5022.960744014685,-7718.977073787164,-5120.324260570673,-8711.171976477475
46872.4680871,idle,idle,,-3089.4876507853496,-2669.9699161317176,-7202.125027929103,-6633.487994607723,-5220.437087625073,-8026.591411650892,-5312.964062772961,-9071.8028590933
46872.4563818,idle,idle,,-3274.283063611377,-2832.8585115603028,-7461.153278655084,-6898.09242330674,-5436.962313461387,-8310.269494035841,-5549.472256774951,-9383.755281090898
46872.47638180001,idle,idle,,-3400.2412820638283,-2971.6803517019143,-7634.758684222015,-7064.000207908239,-5576.9967351863925,-8457.204559919055,-5709.974404824252,-9538.741841877278
46872.5510937,idle,idle,,-3430.327261457946,-3002.3079492067864,-7621.856617783455,-7066.269873496784,-5593.684122936124,-8441.036366669017,-5720.681064028957,-9516.32677309167
46872.571093700004,idle,idle,,-3337.967147051724,-2924.345913703089,-7425.2010420626075,-6896.7205551588095,-5462.470934460285,-8247.45007129888,-5577.7421824894645,-9306.745646619534
46872.5612563,idle,idle,,-3223.8288709161807,-2822.211471131545,-7163.255548868244,-6647.295069568702,-5280.7178626728,-7957.049255468247,-5383.042538837399,-8995.1791701828
46872.58125630001,idle,idle,,-3060.969815758664,-2690.1590103081594,-6826.423726951109,-6337.337527340462,-5024.572286717092,-7575.612436170681,-5129.923810183619,-8553.78924216132
46872.5717124,idle,idle,,-2872.3962004630785,-2516.983095750621,-6406.080638811679,-5936.198636099604,-4697.225518536807,-7099.487116402059,-4807.851261661589,-7999.877638716573
46872.591712400004,idle,idle,,-2641.981067479232,-2316.5734618708343,-5904.06043113768,-5487.709650335242,-4337.968388630502,-6567.475640534367,-4441.384712674879,-7390.190860672569
46872.670477800006,idle,idle,,-2384.7727679238956,-2088.951089068451,-5376.422277317344,-4976.586571561958,-3943.6715051587444,-5968.964157677615,-4022.576551250762,-6730.576667962206
46872.6616648,idle,idle,,-2106.878354019069,-1836.026161337688,-4778.706914828399,-4433.7504944113725,-3513.990659437396,-5338.512313580699,-3578.363227358365,-6030.22488160027
